PeakID	ATF3	AP-1	MITF(bHLH)	PB0058.1_Sfpi1_1	IRF1(IRF)	LXR-HALF	TEF	LXRE(NR),DR4
Merged-chrUn_GL456389-10653-2	0	1	1	0	1	0	0	0
Merged-chr9-35305408-2	0	1	0	0	1	0	1	0
Merged-chr14-19417842-2	0	1	0	1	1	0	1	0
Merged-chr2-134644199-2	0	0	1	0	0	1	1	0
Merged-chr9-3002152-2	0	0	0	0	1	0	0	0
Merged-chr17-7169947-2	0	0	0	0	0	0	0	0
Merged-chr5-16470054-2	1	0	0	1	1	0	0	0
Merged-chr8-57576423-2	1	0	0	1	0	0	1	1
Merged-chr13-73803999-2	1	0	1	1	0	1	1	0
Merged-chr8-84198541-2	0	0	0	0	0	1	1	0
Merged-chr1-139454687-2	0	0	0	1	1	0	1	0
Merged-chr14-19418198-2	0	1	0	0	1	1	1	0
Merged-chr15-38710408-2	1	1	1	0	0	1	1	0
Merged-chr1-95667680-2	0	0	1	1	0	0	1	0
Merged-chr5-118404560-2	1	0	1	1	1	1	1	1
Merged-chr6-146675346-2	1	1	1	1	1	1	1	0
Merged-chr16-52453221-2	0	0	0	0	0	1	0	0
Merged-chr2-13558758-2	1	0	1	1	0	0	1	1
Merged-chr3-121597386-2	0	0	1	1	1	1	0	0
Merged-chr17-45752859-2	1	1	1	0	0	1	1	0
Merged-chr7-35396934-2	0	1	0	1	1	1	1	0
Merged-chr15-39771056-2	1	0	1	0	1	0	1	0
Merged-chr10-81433062-2	0	1	1	0	0	1	0	0
Merged-chr10-39369677-2	0	0	1	0	0	0	0	0
Merged-chr15-25843153-2	0	1	1	0	0	1	1	0
Merged-chr1-128713064-2	0	0	0	1	0	1	0	0
Merged-chr3-51195491-2	1	0	1	0	1	0	0	0
Merged-chr1-191281354-2	1	0	1	1	1	1	0	0
Merged-chr14-19416202-2	0	1	0	0	1	0	1	0
Merged-chr6-145803065-2	1	1	1	1	1	1	1	0
Merged-chr8-40584875-2	1	0	1	1	0	1	1	0
Merged-chr18-82526043-2	0	1	1	1	0	1	1	0
Merged-chr17-12119220-2	1	1	1	1	1	1	0	0
Merged-chr2-57124176-2	1	0	0	0	0	0	1	0
Merged-chr17-31855934-2	0	1	1	0	0	0	0	0
Merged-chr2-75763450-2	0	1	1	1	0	1	1	0
Merged-chr4-21727680-2	0	0	0	1	0	1	1	0
Merged-chr1-191894602-2	1	0	1	0	1	0	0	0
Merged-chr2-167375438-2	0	0	1	1	0	1	1	0
Merged-chr19-44248287-2	0	0	0	0	1	1	1	1
Merged-chr9-74976096-2	0	1	0	1	0	0	0	0
Merged-chr10-62543648-2	0	1	1	0	1	1	0	0
Merged-chr5-8357308-2	0	1	1	1	0	1	0	0
Merged-chr4-86690440-2	0	0	1	1	1	1	1	0
Merged-chr4-155201003-2	0	1	0	1	0	1	1	0
Merged-chr8-122145009-1	1	1	1	0	0	1	1	0
Merged-chr19-21274345-2	0	1	1	0	1	0	1	0
Merged-chr7-117470671-1	1	0	1	0	1	1	0	1
Merged-chr17-80933749-2	0	0	1	1	0	0	0	0
Merged-chr15-25354967-2	0	1	1	1	1	1	0	0
Merged-chr14-19417504-2	0	0	1	0	1	0	1	0
Merged-chr14-25862002-2	1	0	1	1	0	1	1	0
Merged-chr4-119177937-2	0	1	1	1	1	1	0	0
Merged-chr3-88493070-2	1	0	0	1	0	1	0	0
Merged-chr12-86833919-2	1	0	0	1	0	0	0	0
Merged-chr14-19419351-2	0	1	0	0	1	0	0	0
Merged-chr8-57594364-2	0	1	0	0	0	1	1	0
Merged-chr16-84583566-2	1	1	1	0	1	1	1	0
Merged-chr4-53353593-2	0	1	1	1	1	1	0	0
Merged-chr1-166138358-2	1	0	1	1	0	1	1	0
Merged-chr11-4195763-2	1	0	1	1	1	1	0	0
Merged-chr9-25570536-2	0	1	1	1	1	1	1	1
Merged-chr6-65594367-2	1	0	1	1	0	0	0	0
Merged-chr8-86888106-2	1	0	0	1	1	1	0	0
Merged-chr12-36039589-2	0	1	1	1	0	0	0	0
Merged-chr15-58266629-2	1	1	1	1	0	1	1	0
Merged-chr1-92972200-2	0	1	1	1	1	1	0	0
Merged-chr1-191250185-2	1	0	0	1	1	1	0	0
Merged-chr6-73221761-2	0	1	0	0	0	1	0	0
Merged-chr9-3002530-2	0	1	0	0	1	0	0	0
Merged-chr1-144249128-2	0	1	1	1	0	1	1	0
Merged-chr10-111997238-2	0	1	1	1	1	1	1	0
Merged-chr12-108990631-2	0	1	0	1	1	1	1	0
Merged-chr10-60706463-2	0	1	1	1	1	1	1	0
Merged-chr14-103033628-2	1	1	1	1	1	1	0	0
Merged-chr3-100440189-2	0	0	1	1	0	1	0	0
Merged-chr6-59185460-2	1	0	0	1	1	1	0	0
Merged-chr5-148399907-2	0	0	0	0	0	0	1	0
Merged-chr19-53529022-2	0	1	1	1	0	1	1	0
Merged-chr5-17857475-2	1	0	0	1	0	0	1	1
Merged-chr11-46265608-2	0	1	1	0	1	1	1	0
Merged-chr13-63702038-2	0	1	1	1	1	1	0	0
Merged-chr1-191269740-2	0	0	0	1	1	0	1	0
Merged-chr14-36316901-1	1	1	0	1	0	1	1	0
Merged-chr17-34291800-2	0	1	1	0	1	1	0	1
Merged-chrUn_GL456392-23185-2	0	1	0	0	1	0	1	0
Merged-chr3-100409457-2	0	0	1	1	0	1	0	0
Merged-chr7-139971595-1	1	0	0	1	1	1	0	0
Merged-chr1-106582024-2	0	1	1	1	1	0	0	0
Merged-chr10-89744982-2	0	0	0	0	0	0	0	0
Merged-chr15-53139113-2	1	1	1	1	0	1	0	0
Merged-chr10-111127680-1	1	0	0	0	0	1	0	0
Merged-chr19-32223914-2	0	1	0	0	1	1	0	0
Merged-chr3-36469078-2	0	1	1	1	0	1	1	0
Merged-chr4-47261269-2	1	0	1	1	1	1	0	0
Merged-chr13-73490107-2	0	0	1	1	0	0	0	0
Merged-chr13-110941806-2	1	1	1	1	0	1	1	0
Merged-chr1-106627327-2	1	1	1	1	0	1	1	0
Merged-chr19-29486700-2	0	0	1	1	0	1	0	0
Merged-chr12-24593614-1	1	0	0	0	0	0	0	1
Merged-chr5-148486362-2	0	1	1	1	1	1	0	0
Merged-chr3-100436943-2	1	0	1	1	1	1	0	0
Merged-chr7-47022734-2	1	1	0	1	0	1	1	1
Merged-chr3-130873957-2	1	0	1	1	1	0	1	1
Merged-chr10-82958425-2	0	1	1	1	0	1	1	0
Merged-chr13-63278971-2	0	1	0	1	1	1	0	0
Merged-chr4-125145410-2	0	1	0	1	1	1	1	0
Merged-chr13-83572153-2	0	1	0	1	1	1	1	0
Merged-chr18-65381967-1	1	1	1	1	0	1	1	0
Merged-chr14-19418814-2	0	0	0	0	1	0	0	0
Merged-chr17-12758150-2	1	1	1	1	0	0	0	0
Merged-chr6-87743056-2	0	1	1	1	0	1	1	0
Merged-chr15-59864874-2	0	1	0	1	0	1	0	0
Merged-chr19-28011613-2	0	0	0	0	0	1	1	0
Merged-chr12-32163884-2	1	1	1	1	0	1	1	0
Merged-chr1-128705334-2	1	0	1	1	1	1	1	0
Merged-chrX-60001690-2	0	0	0	1	1	1	1	0
Merged-chr2-13413698-2	1	0	1	1	0	0	0	0
Merged-chr13-74807965-2	0	0	0	0	1	0	0	0
Merged-chr7-117470287-1	1	1	1	0	1	1	1	0
Merged-chr17-34293750-2	1	0	1	1	0	1	0	1
Merged-chr2-57116822-2	0	0	0	1	1	0	1	0
Merged-chr19-32276991-2	1	1	1	1	0	1	1	0
Merged-chr4-59331855-2	1	1	1	1	0	1	1	0
Merged-chr1-74438212-2	1	0	1	0	0	1	1	0
Merged-chr10-127063323-2	0	0	1	0	0	1	1	0
Merged-chr3-108855561-2	1	1	1	0	0	1	0	0
Merged-chr2-178506244-2	0	0	1	1	0	1	1	0
Merged-chr12-3894785-2	0	1	1	0	0	1	1	0
Merged-chr15-59795875-1	1	1	0	0	0	1	0	0
Merged-chr3-9500887-1	0	1	1	0	0	1	0	0
Merged-chr5-97914103-1	1	0	1	1	0	0	0	0
Merged-chr11-46314835-2	1	1	1	1	0	1	1	0
Merged-chr13-5785655-2	1	0	1	0	1	1	1	0
Merged-chr1-156615771-2	1	0	1	0	0	0	1	0
Merged-chr12-24593348-2	0	0	0	1	1	0	0	0
Merged-chr7-112225804-2	0	0	1	0	0	0	1	0
Merged-chr8-11098654-2	0	1	1	0	0	1	1	0
Merged-chr7-3290417-2	0	1	0	1	1	1	1	0
Merged-chr15-12211745-2	0	1	1	1	1	1	1	0
Merged-chr6-35252676-2	0	0	1	1	0	0	0	0
Merged-chr2-32917738-2	1	1	1	1	0	1	0	0
Merged-chr14-25527478-1	1	1	1	0	0	0	0	0
Merged-chr6-90740824-1	0	0	1	1	0	1	1	0
Merged-chr10-117721641-2	1	1	1	0	0	0	1	1
Merged-chr9-25486459-2	0	1	1	1	0	0	1	0
Merged-chr17-13685792-2	1	0	1	1	1	0	0	0
Merged-chr9-16046847-2	1	1	1	1	1	1	0	0
Merged-chr10-13832922-2	1	1	0	0	0	1	1	1
Merged-chr4-45890264-2	0	1	1	1	1	1	1	0
Merged-chr2-91947919-2	1	0	1	0	1	1	1	0
Merged-chr4-45848254-1	1	0	1	1	1	0	1	0
Merged-chr19-53564409-2	1	0	1	1	0	0	0	0
Merged-chr2-118961709-2	1	0	1	1	0	1	0	0
Merged-chr11-32349803-2	1	1	1	1	0	0	1	0
Merged-chr10-75170672-2	1	0	1	1	0	1	0	0
Merged-chr16-52470390-1	1	1	1	1	1	0	1	0
Merged-chr12-116433946-2	1	1	1	1	0	1	1	0
Merged-chr10-25318560-2	1	1	1	1	1	1	0	0
Merged-chr16-92864399-2	0	1	0	0	0	1	0	0
Merged-chr11-50213163-2	1	1	1	0	0	1	0	0
Merged-chr16-91056680-1	1	0	1	0	0	1	1	0
Merged-chr2-113398368-2	0	1	1	1	0	0	1	1
Merged-chr18-60500119-2	1	1	0	0	1	1	1	0
Merged-chr1-144200689-2	1	1	1	1	0	1	1	0
Merged-chr11-35838534-2	0	0	1	0	0	1	1	0
Merged-chr8-57589390-2	1	0	1	0	0	0	0	0
Merged-chr14-120325787-2	1	1	1	1	0	0	1	1
Merged-chr8-10663959-2	0	1	0	1	0	0	1	0
Merged-chr10-62553713-2	1	0	1	1	1	0	1	0
Merged-chr7-24442547-2	0	0	1	1	1	1	0	0
Merged-chr17-26508118-2	0	0	1	0	0	0	0	0
